4	27	27	2	27	4	4	11	4	4	4	13	27	27	4	27	27	27	4	27	27	27	4	11	4	10	27	27	27	2	27	2	14	11	27	27	4	4	27	4	27	4	13	27	14	4	27	2	27	10	27	27	27	10	4	4	2	3	5	3	3	3	3	3	4	4	4	27	4	4	27	27	14	14	27	13	27	27	4	4	4	27	27	9	10	10	27	3	3	7	4	4	4	4	4	27	27	27	27	2	4	27	27	4	4	4	4	27	28	4	4	4	4	4	27	4	4	4	27	4	-1
2	2	27	10	2	10	10	2	10	2	10	10	10	2	10	27	2	2	10	10	2	2	10	10	2	2	27	2	2	14	4	4	4	4	4	4	4	31	4	4	27	27	27	27	12	4	27	27	13	10	2	27	27	10	10	10	10	10	10	25	10	10	26	26	9	25	10	4	2	2	4	27	4	4	4	26	4	4	25	4	4	25	25	25	25	2	4	16	25	27	25	25	25	27	4	25	25	25	25	25	25	25	4	25	25	25	28	4	4	31	4	4	4	4	4	27	27	25	4	28	-1
2	2	27	10	2	10	10	2	10	2	10	10	10	2	10	27	2	2	10	10	2	2	10	10	2	25	25	25	26	25	25	25	25	9	11	11	11	11	4	4	28	10	4	14	13	13	13	13	4	4	27	2	2	27	27	27	10	2	27	10	27	25	27	2	27	11	2	10	27	11	10	27	27	11	27	2	27	27	2	27	2	27	27	27	27	4	4	27	4	11	27	28	2	2	2	27	27	27	2	27	10	2	2	2	2	2	2	27	10	2	27	14	27	2	2	10	2	2	2	2	-1
2	2	27	10	2	10	10	2	10	2	10	10	10	2	10	27	2	2	10	10	2	2	10	10	2	2	11	16	11	4	27	4	4	4	4	4	4	4	4	4	4	27	2	27	2	27	2	2	27	27	27	2	2	2	27	2	13	11	27	2	10	4	2	2	13	10	27	27	11	11	27	27	27	10	11	27	4	11	27	27	11	27	27	27	27	27	27	4	27	25	27	27	27	27	25	27	3	27	27	11	27	11	2	2	2	2	2	2	27	27	27	2	2	2	27	27	2	27	27	27	-1
2	10	27	2	2	10	10	2	10	10	10	10	10	2	2	27	2	2	10	10	2	2	10	10	13	27	2	27	2	4	27	27	4	27	25	2	2	27	2	10	10	11	2	27	2	27	2	2	2	2	2	27	27	27	27	2	4	27	27	27	27	4	11	2	2	11	2	4	2	2	27	2	2	4	25	4	28	27	11	27	4	4	11	2	27	4	4	4	2	2	10	2	27	2	2	2	3	3	4	2	4	2	2	2	3	3	3	3	4	31	27	10	3	2	27	2	27	27	2	2	-1
2	2	27	2	2	10	10	9	10	2	10	10	10	2	10	27	2	2	10	10	2	9	10	10	10	26	26	2	26	26	2	2	2	4	3	2	27	3	3	3	3	3	3	3	3	27	2	3	3	27	25	3	3	27	25	25	4	4	2	3	2	2	2	2	3	3	2	2	4	3	2	27	2	3	2	3	3	2	3	2	27	27	2	2	2	27	4	27	2	4	2	2	2	27	2	2	11	11	2	27	2	27	13	28	2	2	1	2	13	13	11	27	27	11	10	10	2	2	11	27	-1
2	10	27	2	2	10	10	2	10	10	10	10	10	2	2	27	2	2	10	10	2	2	10	10	3	1	9	9	9	9	2	2	13	2	2	2	2	9	9	9	9	9	2	2	2	10	10	10	2	9	2	10	10	10	10	27	10	9	9	9	9	10	13	10	9	9	9	2	2	10	10	10	10	10	10	2	2	27	4	2	2	2	2	2	2	2	2	2	10	11	10	11	2	2	27	2	2	2	10	10	10	9	9	9	9	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	-1
2	2	27	2	2	10	10	2	10	2	10	10	10	10	10	27	2	2	10	10	2	9	10	10	2	10	2	2	2	27	2	2	2	2	27	27	2	2	2	2	2	2	25	2	2	2	4	27	27	4	27	4	14	27	4	11	2	27	2	2	27	27	27	2	2	26	11	2	2	27	2	11	2	27	27	27	27	27	2	2	2	27	13	27	2	27	27	2	2	2	2	27	27	27	27	27	27	2	2	2	2	10	2	2	27	25	2	2	2	2	2	27	2	2	2	2	27	27	27	2	-1
2	2	27	2	2	10	10	2	10	10	10	10	10	2	10	27	2	2	10	10	2	9	10	10	2	28	2	26	27	27	28	27	10	27	4	11	14	11	27	27	27	4	4	11	4	28	11	4	11	27	27	28	4	4	11	14	4	4	4	4	28	28	31	28	27	2	28	28	28	4	27	12	28	27	4	28	27	27	4	28	27	28	27	14	27	2	4	4	4	4	28	4	4	4	28	27	4	2	14	4	4	27	27	28	27	27	27	28	28	4	14	28	4	27	27	27	28	28	27	2	-1
2	2	27	2	2	10	10	2	10	2	10	10	10	2	10	27	2	2	10	10	2	9	10	10	2	2	4	27	14	27	28	28	14	4	4	28	27	28	28	11	27	27	25	9	27	27	4	31	31	31	4	4	4	4	31	4	4	4	4	4	4	4	4	4	31	31	31	31	30	31	28	27	28	14	28	14	11	28	4	2	2	28	4	2	2	27	27	27	11	4	2	28	11	4	26	11	11	28	28	27	11	28	27	4	22	23	7	7	7	5	4	7	29	4	31	31	4	28	4	4	-1
