4	4	11	14	27	11	28	4	4	4	4	4	4	31	31	28	4	7	7	3	3	5	1	1	1	1	1	1	3	2	27	27	27	27	27	4	4	4	4	31	4	4	4	28	14	27	4	27	4	2	26	2	2	2	4	4	2	2	4	4	4	4	4	27	28	27	27	4	4	27	4	2	28	4	27	4	4	4	2	4	-1
27	4	4	27	26	11	27	27	27	10	27	27	27	27	27	27	2	4	27	11	27	4	2	28	4	4	4	4	4	31	29	4	4	4	4	7	7	5	7	3	3	3	3	3	3	3	25	27	27	27	31	27	28	28	31	27	28	27	27	4	4	4	28	27	4	4	11	27	27	27	27	14	27	4	4	4	4	4	27	4	-1
27	27	27	27	27	27	27	27	27	27	27	2	2	27	2	4	2	4	27	4	4	2	2	10	27	27	27	28	2	4	27	4	4	27	27	4	14	11	31	31	4	31	31	31	4	4	29	29	7	5	5	3	3	3	3	25	27	27	4	31	28	28	27	4	4	4	4	4	28	28	27	4	27	2	2	27	4	4	27	4	-1
27	27	27	27	3	2	4	4	4	4	4	4	31	31	31	31	4	4	28	4	7	7	5	3	1	3	3	3	3	27	27	27	27	27	27	4	28	27	4	4	4	2	2	4	4	4	4	4	4	4	4	27	4	27	27	27	14	27	27	27	4	4	27	27	4	4	4	4	4	4	27	4	4	4	4	28	27	26	27	4	-1
27	2	27	11	27	27	11	2	27	27	27	2	27	4	2	27	4	2	27	11	11	11	4	4	31	31	28	4	29	7	3	3	1	1	1	3	3	3	27	27	27	4	31	31	31	31	4	31	31	4	4	4	28	27	4	27	27	27	10	2	4	4	4	27	27	2	27	4	4	27	2	4	4	27	27	27	28	2	4	27	-1
27	27	27	25	25	25	27	25	27	2	4	4	4	4	4	27	27	11	4	31	24	31	31	31	29	7	7	7	5	5	1	1	1	3	3	25	27	27	27	31	31	31	31	4	29	4	4	4	4	4	2	2	4	4	4	10	27	27	4	4	4	27	2	27	27	4	4	2	4	2	27	4	4	4	27	10	27	4	27	4	-1
11	14	4	14	11	12	11	11	11	14	11	11	12	11	11	11	28	27	10	11	11	11	11	9	9	9	12	12	31	31	31	31	29	7	4	3	3	3	1	3	3	3	3	25	27	27	27	27	27	4	4	4	4	2	4	4	2	4	27	4	4	4	4	27	27	11	27	4	4	2	27	4	4	4	28	4	27	2	2	27	-1
27	26	26	4	28	27	13	11	27	10	27	27	27	27	27	27	25	25	25	4	26	4	4	2	11	11	11	4	31	31	31	4	4	29	7	7	5	5	1	3	3	3	3	25	27	27	27	27	27	27	27	4	4	27	4	4	4	4	28	4	4	4	27	4	4	4	4	4	27	4	27	27	27	27	27	27	27	4	4	4	-1
27	10	9	27	27	27	27	27	27	27	2	4	11	4	27	27	11	31	31	31	31	31	28	28	4	29	7	7	7	3	3	3	3	3	3	25	25	27	27	27	28	28	27	31	31	31	4	4	27	27	27	27	2	11	2	4	27	27	27	4	4	4	4	4	4	27	4	27	27	4	4	2	2	4	4	4	4	4	2	2	-1
10	27	27	27	27	27	27	27	27	27	27	4	4	2	4	2	2	2	2	11	4	31	31	31	4	31	31	29	29	7	3	3	5	3	1	3	3	3	3	3	27	27	27	27	27	27	28	4	4	28	4	4	11	4	4	4	4	4	11	10	4	4	4	4	27	4	27	27	4	27	4	27	4	27	4	4	27	28	11	27	-1
27	27	10	11	4	27	13	13	11	27	27	27	27	27	27	27	27	27	25	27	27	4	4	4	4	4	4	11	31	31	31	31	31	28	28	4	29	7	7	3	1	3	3	3	3	3	3	27	27	27	27	14	28	28	31	31	31	31	31	28	27	27	2	4	4	4	27	27	4	4	4	4	4	4	4	4	27	4	2	27	-1
27	25	27	27	25	27	4	4	27	4	27	4	4	27	11	11	31	31	31	28	31	4	29	29	7	3	3	3	3	3	3	3	27	27	27	27	27	28	28	31	31	31	4	4	4	27	4	27	4	11	27	4	27	4	27	27	4	4	27	27	4	2	4	4	4	2	4	27	4	4	4	4	27	27	27	27	4	4	27	27	-1
27	27	27	27	27	4	4	4	4	4	27	11	11	11	31	31	31	4	31	4	4	29	7	3	3	3	3	3	3	3	3	27	27	27	27	27	27	31	28	28	11	27	4	27	4	2	27	4	2	4	4	4	27	4	27	2	4	4	27	4	27	4	4	4	2	4	4	27	27	4	27	4	4	4	4	4	2	4	27	2	-1
27	27	10	10	10	27	27	27	27	27	27	27	4	4	4	2	4	27	11	11	4	31	31	31	31	31	29	29	4	7	5	3	3	3	3	3	3	25	27	27	27	27	12	12	27	28	4	31	12	4	4	4	27	4	4	4	4	27	4	4	4	2	4	27	27	4	2	4	2	27	4	4	27	4	4	4	4	27	27	4	-1
27	27	27	27	27	27	27	27	27	27	27	2	4	4	4	2	4	27	4	4	4	4	31	31	29	29	7	7	5	5	1	1	3	3	3	27	27	11	27	27	28	31	31	28	4	28	4	4	4	4	4	4	4	4	4	4	4	27	4	27	4	4	4	4	4	27	4	4	4	27	4	4	27	4	4	4	4	4	4	4	-1
27	25	25	25	25	27	27	2	3	2	4	4	4	4	11	31	4	4	4	29	4	29	7	5	3	3	3	1	3	3	25	27	27	4	27	27	27	31	28	31	31	27	27	27	27	27	27	4	4	4	4	4	4	4	27	27	4	4	4	27	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	28	4	4	-1
27	27	27	27	27	2	4	4	4	4	2	4	2	2	31	4	4	4	31	31	31	27	28	29	29	7	3	5	3	3	1	1	3	3	3	27	27	27	27	27	12	28	31	28	31	31	27	27	27	27	4	4	4	4	4	4	4	4	4	4	4	27	27	4	4	27	4	27	2	4	4	4	27	4	4	4	2	27	4	4	-1
27	27	4	2	28	2	27	27	4	11	4	31	31	31	31	28	29	29	7	7	5	3	1	1	3	3	3	27	27	27	4	31	31	31	31	31	31	31	27	27	27	27	27	4	4	4	4	4	27	4	27	27	27	27	27	27	27	4	4	4	4	4	4	4	4	27	4	4	4	4	28	27	4	27	27	27	4	4	4	4	-1
27	27	27	27	27	27	27	27	27	27	28	4	4	4	4	11	31	31	31	31	31	31	4	29	7	7	5	3	3	1	3	3	3	27	27	27	27	27	27	28	31	4	4	4	4	4	4	4	4	4	27	27	27	27	4	27	4	4	4	4	4	27	4	4	4	4	4	4	4	4	4	4	27	28	4	4	27	4	4	4	-1
27	27	27	25	27	27	4	4	2	2	4	4	4	4	4	4	31	4	4	31	28	31	4	4	7	7	5	1	1	3	3	3	27	27	27	27	27	27	31	31	31	31	4	27	4	4	27	4	4	4	4	4	27	4	4	4	4	2	4	29	4	4	4	4	4	4	27	4	4	4	4	2	27	2	4	2	2	27	27	4	-1
